frequency_Hz,normalized_margin,normalized_lower_bound,normalized_upper_bound,classification
0.945,-0.32748042485372,-0.32748042485372,-0.325299383848484,non-sectorial
0.95,-0.328599305867213,-0.328599305867213,-0.326418277088404,non-sectorial
0.955,-0.329712797592991,-0.329712797592991,-0.327531803410995,non-sectorial
0.96,-0.330820851886936,-0.330820851886936,-0.328639915850305,non-sectorial
0.965,-0.331923425507589,-0.331923425507589,-0.329742573363969,non-sectorial
0.97,-0.333020479874422,-0.333020479874422,-0.330839740506743,non-sectorial
0.975,-0.334111980835872,-0.334111980835872,-0.331931387120634,non-sectorial
0.98,-0.33519789844687,-0.33519789844687,-0.333017488040899,non-sectorial
0.985,-0.33627820675555,-0.33627820675555,-0.334098022817171,non-sectorial
0.99,-0.337352883598864,-0.337352883598864,-0.335172801688482,non-sectorial
0.995,-0.338421910406797,-0.338421910406797,-0.336241506387624,non-sectorial
1,-0.339485272014906,-0.339485272014906,-0.337304561102127,non-sectorial
1.005,-0.340542956484879,-0.340542956484879,-0.338361963919395,non-sectorial
1.01,-0.341594954932842,-0.341594954932842,-0.339413716361141,non-sectorial
1.015,-0.342641261365131,-0.342641261365131,-0.340459823185229,non-sectorial
1.02,-0.343681872521247,-0.343681872521247,-0.341500292198257,non-sectorial
1.025,-0.344716787723741,-0.344716787723741,-0.342535134078354,non-sectorial
1.03,-0.345746008734741,-0.345746008734741,-0.343564362207731,non-sectorial
1.035,-0.346769539618887,-0.346769539618887,-0.344587992514501,non-sectorial
1.04,-0.34778738661241,-0.34778738661241,-0.345606043323369,non-sectorial
1.045,-0.348799557998113,-0.348799557998113,-0.346618535214734,non-sectorial
1.05,-0.349806063986016,-0.349806063986016,-0.347625490891857,non-sectorial
1.055,-0.350806916599439,-0.350806916599439,-0.34862643986006,non-sectorial
1.06,-0.351802129566289,-0.351802129566289,-0.349621128192143,non-sectorial
1.065,-0.352791718215353,-0.352791718215353,-0.350610335654409,non-sectorial
1.07,-0.353775699377363,-0.353775699377363,-0.351594093499093,non-sectorial
1.075,-0.354754091290651,-0.354754091290651,-0.352572434491887,non-sectorial
1.08,-0.35572691351119,-0.35572691351119,-0.353545392822216,non-sectorial
1.085,-0.356694186826831,-0.356694186826831,-0.354513004019241,non-sectorial
1.09,-0.357655933175555,-0.357655933175555,-0.355475304873343,non-sectorial
1.095,-0.358612175567567,-0.358612175567567,-0.35643136248303,non-sectorial
1.1,-0.359562938011062,-0.359562938011062,-0.357381598267974,non-sectorial
1.105,-0.360508245441491,-0.360508245441491,-0.358326626518146,non-sectorial
1.11,-0.361448123654192,-0.361448123654192,-0.359266489227459,non-sectorial
1.115,-0.362382599240206,-0.362382599240206,-0.360201229294029,non-sectorial
1.12,-0.363311699525156,-0.363311699525156,-0.361130890471602,non-sectorial
1.125,-0.364235452511044,-0.364235452511044,-0.362054552515501,non-sectorial
1.13,-0.365153886820823,-0.365153886820823,-0.362972438230749,non-sectorial
1.135,-0.366067031645624,-0.366067031645624,-0.363885372325052,non-sectorial
1.14,-0.366974916694513,-0.366974916694513,-0.364793402177351,non-sectorial
1.145,-0.367877572146656,-0.367877572146656,-0.365696575806915,non-sectorial
1.15,-0.36877502860578,-0.36877502860578,-0.366594113119054,non-sectorial
1.155,-0.369667317056821,-0.369667317056821,-0.367485819053894,non-sectorial
1.16,-0.370554468824651,-0.370554468824651,-0.368372811608652,non-sectorial
1.165,-0.371436515534783,-0.371436515534783,-0.369255141595087,non-sectorial
1.17,-0.372313489075959,-0.372313489075959,-0.370132860348519,non-sectorial
1.175,-0.373185421564529,-0.373185421564529,-0.37100406138653,non-sectorial
1.18,-0.374052345310521,-0.374052345310521,-0.371870685915426,non-sectorial
1.185,-0.374914292785333,-0.374914292785333,-0.372732854493954,non-sectorial
1.19,-0.375771296590943,-0.375771296590943,-0.37359062081441,non-sectorial
1.195,-0.376623389430578,-0.376623389430578,-0.374441957831244,non-sectorial
1.2,-0.377470604080749,-0.377470604080749,-0.375288947589947,non-sectorial
