impedance_scale_kappa,SCR,damping_D,maximum_real_pole_Hz,dominant_oscillation_frequency_Hz,closed_loop_reference,sampled_criterion_status,final_classification,gain_pass_count,gain_fail_count,gain_indeterminate_count,phase_pass_count,phase_fail_count,phase_indeterminate_count,uncovered_frequency_count,indeterminate_frequency_count,converter_phase_seed_frequency_Hz,network_phase_seed_frequency_Hz,maximum_transformation_condition,maximum_interconnection_residual
1,0.894427190999916,0.4,-0.24351667898541,0.461321712802911,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,42,79,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.83573410405211e-16
1,0.894427190999916,0.45,-0.26903149298769,0.431258041716291,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,42,79,0,121,0,0,0,0,0.001,0.001,19.3298529856282,9.85200657464585e-16
1,0.894427190999916,0.5,-0.289891360625116,0.399601027552282,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,41,80,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.15915681761706e-16
1.1,0.813115628181742,0.04,0.0315586978434775,0.556714337852635,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,46,75,0,65,52,4,10,0,0.00170306502925284,0.001,19.3298529856282,8.69189019876704e-16
1.1,0.813115628181742,0.05,0.0228357709295752,0.556104959315636,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,46,75,0,65,51,5,10,0,0.00196922025547917,0.001,19.3298529856282,8.37043334681701e-16
1.1,0.813115628181742,0.06,0.0141553737080147,0.555331012381986,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,46,75,0,65,50,6,10,0,0.00224052786930002,0.001,19.3298529856282,9.3728447522104e-16
1.1,0.813115628181742,0.08,-0.00306989940324731,0.553291137419109,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,65,50,6,10,0,0.00224052786930002,0.001,19.3298529856282,1.04388776245916e-15
1.1,0.813115628181742,0.1,-0.0201001518353296,0.55059763994424,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,66,50,5,9,0,0.00196922025547917,0.001,19.3298529856282,8.88146742146402e-16
1.1,0.813115628181742,0.12,-0.0369165088786376,0.547252796815132,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,66,55,0,9,0,0.001,0.001,19.3298529856282,7.05130018416233e-16
1.1,0.813115628181742,0.14,-0.0534979875785623,0.543258524735233,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,84,37,0,9,0,0.001,0.001,19.3298529856282,9.59912224877581e-16
1.1,0.813115628181742,0.16,-0.069821287784446,0.538616716970705,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,90,31,0,10,0,0.001,0.001,19.3298529856282,9.99644174953313e-16
1.1,0.813115628181742,0.18,-0.0858605861272277,0.533329640705567,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,94,27,0,10,0,0.001,0.001,19.3298529856282,9.69612424434779e-16
1.1,0.813115628181742,0.2,-0.101587346280577,0.527400409597507,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,96,25,0,10,0,0.001,0.001,19.3298529856282,7.29622685447785e-16
1.1,0.813115628181742,0.25,-0.139323529514438,0.509802869127383,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,44,77,0,102,19,0,10,0,0.001,0.001,19.3298529856282,6.74776648700103e-16
1.1,0.813115628181742,0.3,-0.174331720982932,0.488369706576983,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,43,78,0,108,13,0,9,0,0.001,0.001,19.3298529856282,8.77166708075152e-16
1.1,0.813115628181742,0.35,-0.205946436582179,0.463411191546308,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,42,79,0,121,0,0,0,0,0.001,0.001,19.3298529856282,9.76760061201691e-16
1.1,0.813115628181742,0.4,-0.233481058077425,0.435495507882416,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,42,79,0,121,0,0,0,0,0.001,0.001,19.3298529856282,8.12679903273804e-16
1.1,0.813115628181742,0.45,-0.256381375095211,0.405500300705895,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,41,80,0,121,0,0,0,0,0.001,0.001,19.3298529856282,7.78201686798225e-16
1.1,0.813115628181742,0.5,-0.274425578190567,0.374545792799157,stable,covered-on-grid-under-phase-branch-assumption,criterion-covered-stable,40,81,0,121,0,0,0,0,0.001,0.001,19.3298529856282,6.13112832429752e-16
1.2,0.74535599249993,0.04,0.0329480040887333,0.537264410031425,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,46,75,0,65,52,4,10,0,0.00170306502925284,0.001,19.3298529856282,5.99581439082153e-16
1.2,0.74535599249993,0.05,0.0242988427455872,0.536606566360503,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,46,75,0,65,51,5,10,0,0.00196922025547917,0.001,19.3298529856282,7.43959310231999e-16
1.2,0.74535599249993,0.06,0.0156963477528517,0.535778688579848,unstable,not-covered-on-grid-under-phase-branch-assumption,unstable-not-covered,46,75,0,65,50,6,10,0,0.00224052786930002,0.001,19.3298529856282,9.05856766374216e-16
1.2,0.74535599249993,0.08,-0.00135962977375251,0.533614816322338,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,46,75,0,65,50,6,10,0,0.00224052786930002,0.001,19.3298529856282,5.45691688525557e-16
1.2,0.74535599249993,0.1,-0.018200613831894,0.530776280514665,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,66,50,5,10,0,0.00196922025547917,0.001,19.3298529856282,7.89642208990876e-16
1.2,0.74535599249993,0.12,-0.0348050714526679,0.527266026472584,stable,not-covered-on-grid-under-phase-branch-assumption,stable-not-covered,45,76,0,66,55,0,10,0,0.001,0.001,19.3298529856282,1.20571396832536e-15
