case_name,frequency_Hz,Y11_real,Y11_imag,Y12_real,Y12_imag,Y21_real,Y21_imag,Y22_real,Y22_imag
stable,3.21985176996205,0.771092159361658,0.83170064346506,9.87108450016884,1.03633902030221,-9.50855758164677,-0.289105713223539,2.09756459090289,2.35086426018555
stable,3.38121668903121,0.836590824486096,0.940106460474126,9.85181325235889,0.904935425027315,-9.48629079694429,-0.223214970087816,2.11492911769588,2.28377649374242
stable,3.55066851363717,0.905200260848431,1.04117957024446,9.82734774300431,0.783579298147646,-9.4626251674077,-0.163379259078805,2.12868218842429,2.22569631419899
stable,3.72861252419367,0.975967609073565,1.1353036841584,9.7990421189695,0.671949604464274,-9.43833152189581,-0.109228870439386,2.13985850843366,2.17632608292664
stable,3.91547431200009,1.04805676929483,1.222944647614,9.76809624845439,0.569599686544767,-9.4140725978973,-0.060336529262307,2.14934068291299,2.13527636653176
stable,4.11170079713445,1.12074469022448,1.30462721094773,9.73555763351522,0.47599353033714,-9.39040830271882,-0.0162398886233861,2.15786192484831,2.10210069319644
stable,4.31776129735866,1.19341470691594,1.38091596051291,9.70232892827276,0.390536723970497,-9.36780405115615,0.0235398094718174,2.16601417458542,2.07632557898074
stable,4.53414865059277,1.26554818505625,1.45240023432937,9.66917924194666,0.312601975603284,-9.34664104267896,0.0594828532160555,2.17426000704076,2.05747558150297
stable,4.76138039364257,1.33671545438179,1.51968262686903,9.63675771501314,0.241549432739583,-9.3272275558908,0.0920597007967285,2.1829469356858,2.04509347924162
stable,5,1.4065667459345,1.58337057343119,9.60560818167491,0.176742281515237,-9.30981055194409,0.121722759159318,2.19232297345371,2.0387559032503
unstable,0.1,0.501529296555103,-0.00189518868840157,-0.0314309881498373,0.0316185843184035,-0.00177990833182473,-0.123880366206095,-0.500596483337099,-5.01096998519592e-05
unstable,0.105011563593534,0.501686632820972,-0.00201023793731202,-0.0346726023336573,0.0332251589304617,-0.00196269422451504,-0.130085624145673,-0.500657815683637,-5.80553967301153e-05
unstable,0.110274284883587,0.501860180242594,-0.00213424007140569,-0.0382499386755976,0.0349157507951378,-0.00216424123788032,-0.13660137510446,-0.500725459964612,-6.72643506750093e-05
unstable,0.115800750797843,0.502051614396329,-0.00226815176072835,-0.0421980707503595,0.0366951318433395,-0.00238647286419825,-0.143443102644128,-0.500800066988618,-7.79383302425105e-05
unstable,0.121604179065866,0.502262785192999,-0.00241305911503922,-0.0465558024145191,0.0385684040616229,-0.00263150933545387,-0.150627054135945,-0.500882354941187,-9.03115886674547e-05
unstable,0.127698449832146,0.502495735268037,-0.0025701973922989,-0.0513660788929441,0.0405410310186463,-0.0029016876442156,-0.158170277120203,-0.500973116422369,-0.00010465616564325
unstable,0.13409813885344,0.502752720366995,-0.00274097388112089,-0.0566764462682302,0.0426188735154878,-0.00319958357937739,-0.166090657185026,-0.501073226233855,-0.000121288074334863
unstable,0.140818552359825,0.503036231955185,-0.00292699448931416,-0.062539565732351,0.0448082300188556,-0.00352803597450362,-0.174406957393025,-0.501183649998922,-0.000140574526954329
unstable,0.147875763662831,0.50334902230914,-0.00313009466420198,-0.0690137899313553,0.0471158826553709,-0.003890173384764,-0.183138859278155,-0.501305453708632,-0.000162942380304916
unstable,0.155286651598217,0.503694132380796,-0.00335237538154065,-0.076163809880814,0.0495491496881706,-0.00428944342810468,-0.192307005427588,-0.501439814299229,-0.00018888801633114
unstable,0.163068940895331,0.504074922763462,-0.00359624507219423,-0.08406138228849,0.0521159455694368,-0.00472964504740345,-0.201933043654109,-0.501588031378961,-0.000218988913105863
unstable,0.171241244569602,0.50449510813278,-0.00386446851368984,-0.0927861487367031,0.0548248498708059,-0.00521496397291587,-0.212039672753249,-0.501751540237866,-0.000253917210343507
unstable,0.179823108439566,0.50495879558698,-0.00416022390286363,-0.102426560106356,0.0576851866463853,-0.00575001168831574,-0.222650689825614,-0.501931926291728,-0.000294455632321134
unstable,0.188835057874883,0.505470527370213,-0.00448716955280602,-0.113080921937706,0.0607071160909508,-0.00633986822900662,-0.233791039128418,-0.502130941132107,-0.000341516202358739
