case_name,frequency_Hz,normalized_separation_margin,normalized_lower_bound,normalized_upper_bound,optimal_rotation_rad,normalized_H_contribution,normalized_G_contribution,normalized_commutator,normalized_eigenvalue_gap,critical_direction_d_magnitude,critical_direction_q_magnitude,critical_direction_q_relative_phase_rad,classification_status,classification_is_certified,direction_resolved,objective_envelope_resolved,attribution_status,overall_numerical_status
stable,3.72861252419367,0.0866988488985469,0.0866988488985468,0.088879984901721,0.0477054866264135,0.086501688705341,0.000197160193205753,0.0873464733482626,0.111505154052155,0.98669142503784,0.162603910644229,-2.80125616029803,strict-sectorial,1,1,1,resolved,resolved
stable,3.91547431200009,0.0926317031844893,0.0926317031844894,0.094807591595102,0.04020842070855,0.0924820247117627,0.000149678472726557,0.0823279243440304,0.105121216700837,0.985723478184954,0.168372279651246,-2.7797293080473,strict-sectorial,1,1,1,resolved,resolved
stable,4.11170079713445,0.0985495299148489,0.098549529914849,0.100712652568627,0.03326482142967,0.0984405210069739,0.000109008907874999,0.077333451168625,0.0987633741719441,0.984728925796208,0.174094637195538,-2.76098162746301,strict-sectorial,1,1,1,resolved,resolved
stable,4.31776129735866,0.104407982389906,0.104407982389906,0.106586477100179,0.0268366551750376,0.104332804787564,7.51776023417406e-05,0.0724125583115101,0.0924952421071807,0.983711390799033,0.179755110114375,-2.74461465864578,strict-sectorial,1,1,1,resolved,resolved
stable,4.53414865059277,0.110167107027358,0.110167107027358,0.1123420317909,0.0208849678887066,0.110119060549552,4.80464778058373e-05,0.0676064057579661,0.0863699576556406,0.982674387169544,0.185340359341839,-2.73026861679753,strict-sectorial,1,1,1,resolved,resolved
stable,4.76138039364257,0.115791202076427,0.115791202076427,0.117937181232781,0.0153705454095601,0.115763848432247,2.73536441805336e-05,0.062948319296919,0.0804307041187915,0.981621319362756,0.190839161003506,-2.71761929922775,strict-sectorial,1,1,1,resolved,resolved
stable,5,0.121248616848114,0.121248616848114,0.12340948628944,0.0102544575442556,0.121235867532087,1.27493160273118e-05,0.0584644109306193,0.0747114219544236,0.980555471203986,0.196242115489842,-2.70637484700397,strict-sectorial,1,1,1,resolved,resolved
unstable,0.1,-0.0852988288013343,-0.0852988288013343,-0.0831269314517056,-1.56499840720138,-2.86757893397637e-06,-0.0852959612224003,0.133637292513113,0.174107832485043,0.678557332341938,0.734547443481354,-2.8389268148916,non-sectorial,1,1,1,resolved,resolved
unstable,0.105011563593534,-0.0893765989229817,-0.0893765989229817,-0.0872101596254307,-1.56391278420679,-4.23509592870591e-06,-0.089372363827053,0.140558414867851,0.182464853729899,0.675735724079426,0.737143969115162,-2.82560127270724,non-sectorial,1,1,1,resolved,resolved
unstable,0.110274284883587,-0.0936397667457967,-0.0936397667457967,-0.0914595332820876,-1.56265057284557,-6.21393846837089e-06,-0.0936335528073283,0.147844651949095,0.191207504490582,0.672645024477455,0.739965317461382,-2.8118448807806,non-sectorial,1,1,1,resolved,resolved
unstable,0.115800750797843,-0.0980944635365136,-0.0980944635365136,-0.0959159295697527,-1.56118462741038,-9.06225873029122e-06,-0.0980854012777833,0.155512936037745,0.200349594242075,0.669261232034297,0.743027188799935,-2.79766071221947,non-sectorial,1,1,1,resolved,resolved
unstable,0.121604179065866,-0.102746339346578,-0.102746339346578,-0.100576572096665,-1.55948377477224,-1.31487526174547e-05,-0.10273319059396,0.163579839093039,0.209904176950743,0.6655581918524,0.746345960837307,-2.78305319773729,non-sectorial,1,1,1,resolved,resolved
unstable,0.127698449832146,-0.107600342099084,-0.107600342099084,-0.10541881447476,-1.55751240518881,-1.89859486335374e-05,-0.10758135615045,0.172061156671792,0.219883139005738,0.661507838666633,0.749938250379723,-2.76802766405853,non-sectorial,1,1,1,resolved,resolved
unstable,0.13409813885344,-0.112660444166124,-0.112660444166124,-0.110490683925668,-1.55522978029644,-2.72977297422914e-05,-0.112633146436382,0.180971375125939,0.230296686718539,0.657079659363159,0.753821146725929,-2.75259002667327,non-sectorial,1,1,1,resolved,resolved
unstable,0.140818552359825,-0.117929307614468,-0.117929307614468,-0.115749433820299,-1.55258953521048,-3.90866991004889e-05,-0.117890220915367,0.190323000281925,0.24115271500603,0.652240899313456,0.758011747443781,-2.73674595154762,non-sectorial,1,1,1,resolved,resolved
unstable,0.147875763662831,-0.123407878815974,-0.123407878815974,-0.121227143890544,-1.549538878489,-5.57561364812974e-05,-0.123352122679492,0.200125724631761,0.252456040181725,0.646955975138691,0.762527354415791,-2.72050009832877,non-sectorial,1,1,1,resolved,resolved
unstable,0.155286651598217,-0.12909490306114,-0.12909490306114,-0.126918715536814,-1.54601801680313,-7.92435848848434e-05,-0.129015659476255,0.210385410238752,0.264207476855764,0.641186605425076,0.767384999217126,-2.7038547092411,non-sectorial,1,1,1,resolved,resolved
