variant,state_count,factor_name,factor,tracking_status,real_per_s,imag_per_s,oscillation_frequency_hz,real_shift_from_baseline_per_s,frequency_shift_from_baseline_hz,lcl_group_total,control_state_group_total,voltage_pi_participation,current_pi_participation,active_damping_filter_participation,converter_current_participation,capacitor_voltage_participation,grid_side_filter_current_participation,condition_number,maximum_eigenpair_residual,minimum_right_mac,minimum_left_mac,maximum_normalized_eigenvalue_distance,path_steps_including_rejected_direct_attempts
12_state_omit_rfif,12,current_pi_joint_gain,0.8,matched,130.92191228898605,600.507137937749,95.57367936475939,8.908080790894445,-4.3753012551618795,0.8160061589566635,0.1839938410433364,0.17747020648866507,0.0036755294768902715,0.002848105077781076,0.16602685793262195,0.023230548107359347,0.6267487529166822,3.0115670990089685,9.097018220980377e-16,0.9996556251617476,0.9885616638936577,0.045171529589029764,1
12_state_omit_rfif,12,current_pi_joint_gain,1.2,matched,114.15983453638549,648.7086202968795,103.24518354657181,-7.853996961706116,3.2962029266505364,0.8476691008874039,0.1523308991125961,0.14728351221368363,0.002785368307467979,0.002262018591444469,0.13310680175268058,0.03101079088335204,0.6835515082513712,2.956733214012186,2.1601084994089243e-16,0.9998142069716981,0.9931818037426067,0.03462316155487825,1
12_state_omit_rfif,12,converter_side_filter_reactance,0.8,matched,113.17086082896654,647.7027294174843,103.085091040905,-8.842970669125066,3.136110420983733,0.8474618109379122,0.15253818906208783,0.14704685706276796,0.002790600490303465,0.002700731509016387,0.1272425236384807,0.030722594810075776,0.6894966924893557,3.1072877166745814,3.5143427389149033e-16,0.9998228379252262,0.9997643070996145,0.0337606060682096,1
12_state_omit_rfif,12,converter_side_filter_reactance,1.2,matched,129.40581233868897,609.9083683223521,97.0699316516147,7.39198084059737,-2.8790489683065785,0.8215198696418563,0.17848013035814372,0.17260539202008235,0.003511944414116534,0.0023627939239448284,0.1654223149188665,0.02469582302542825,0.6314017316975615,2.834352957548831,6.900209378373021e-16,0.9998452426270071,0.9997907899033249,0.030546133897982282,1
12_state_omit_rfif,12,filter_capacitor_susceptance,0.8,matched,118.25134152713528,628.256708242109,99.99016064737435,-3.7624899709563238,0.0411800274530797,0.835633292154814,0.1643667078451858,0.15867793249192857,0.0031736495678003785,0.0025151257854568575,0.14810048243202223,0.021836133513630618,0.6656966762091612,2.953619634039781,6.273390539787983e-16,0.9999934745305494,0.9996181549853808,0.005895158960867345,1
12_state_omit_rfif,12,filter_capacitor_susceptance,1.2,matched,125.79408284052917,627.571423117218,99.88109413232061,3.780251342437566,-0.0678864876006578,0.8316524326168551,0.1683475673831449,0.1626756487968688,0.0031527805569876366,0.0025191380292884616,0.1471089131808586,0.03298737502093123,0.6515561444150653,2.9658456642265207,4.578478195743169e-16,0.9999933478461892,0.9996184046276524,0.005946528981429321,1
12_state_omit_rfif,12,grid_side_filter_reactance,0.8,matched,151.48968584001744,663.4549258122131,105.59213096168043,29.47585434192584,5.643150341759154,0.8128538532915606,0.1871461467084393,0.1812472321187103,0.0034446116536339063,0.00245430293609508,0.1749299988158783,0.030465193570795468,0.6074586609048868,3.2270254995154914,6.974845888897857e-16,0.9999148265592898,0.996627331992878,0.07207415213327811,1
12_state_omit_rfif,12,grid_side_filter_reactance,1.2,matched,100.78768643306068,599.9745263619525,95.48891159972341,-21.22614506503092,-4.460069020197859,0.8506511379117501,0.1493488620882499,0.1439003625942447,0.0029245776500506386,0.0025239218439545553,0.1273752239551995,0.024694702575761826,0.6985812113807888,2.7447978597936227,5.37116111570975e-16,0.9999495442397739,0.9970028188665359,0.05495164971877073,1
12_state_omit_rfif,12,active_damping_gain,0.8,matched,121.27022382636049,632.5764427595792,100.67766774867442,-0.7436076717311124,0.7286871287531513,0.836395936112035,0.16360406388796497,0.15846002110089086,0.0030915511557411696,0.0020524916313329426,0.15045946267177351,0.028285793489143583,0.6576506799511179,2.9987713515493413,7.053667711610087e-16,0.9999916234103868,0.9994701561831146,0.00725054002409515,1
12_state_omit_rfif,12,active_damping_gain,1.2,matched,122.66302044291993,623.5709097299051,99.24439265182446,0.6491889448283246,-0.7045879680968135,0.8311026977054213,0.1688973022945787,0.16269753372038098,0.003233410618905902,0.0029663579552918233,0.14495002171651583,0.026571381932343277,0.6595812940565622,2.9257176262699,5.104423210086377e-16,0.9999920742265831,0.9994801290922586,0.0069940820170151675,1
